2026-04-23 10:02:02 | INFO     | logging:callHandlers:1737 | 127.0.0.1:59719 - "GET /openapi.json HTTP/1.1" 200
2026-04-23 10:02:47 | INFO     | logging:callHandlers:1737 | 127.0.0.1:56346 - "PUT /api/reports/1 HTTP/1.1" 200
2026-04-23 10:03:02 | INFO     | logging:callHandlers:1737 | 127.0.0.1:49666 - "DELETE /api/reports/1 HTTP/1.1" 204
2026-04-23 10:24:57 | INFO     | logging:callHandlers:1737 | Shutting down
2026-04-23 10:24:57 | INFO     | logging:callHandlers:1737 | Waiting for application shutdown.
2026-04-23 10:24:57 | INFO     | logging:callHandlers:1737 | Application shutdown complete.
2026-04-23 10:24:57 | INFO     | logging:callHandlers:1737 | Finished server process [14032]
2026-04-23 10:25:03 | INFO     | logging:callHandlers:1737 | Started server process [23216]
2026-04-23 10:25:03 | INFO     | logging:callHandlers:1737 | Waiting for application startup.
2026-04-23 10:25:03 | INFO     | app.main:startup_event:39 | 🚀 Приложение запущено
2026-04-23 10:25:03 | INFO     | logging:callHandlers:1737 | Application startup complete.
2026-04-23 10:25:37 | INFO     | logging:callHandlers:1737 | Shutting down
2026-04-23 10:25:37 | INFO     | logging:callHandlers:1737 | Waiting for application shutdown.
2026-04-23 10:25:37 | INFO     | logging:callHandlers:1737 | Application shutdown complete.
2026-04-23 10:25:37 | INFO     | logging:callHandlers:1737 | Finished server process [23216]
2026-04-23 10:25:40 | INFO     | logging:callHandlers:1737 | Started server process [3844]
2026-04-23 10:25:40 | INFO     | logging:callHandlers:1737 | Waiting for application startup.
2026-04-23 10:25:40 | INFO     | app.main:startup_event:39 | 🚀 Приложение запущено
2026-04-23 10:25:40 | INFO     | logging:callHandlers:1737 | Application startup complete.
2026-04-23 10:26:14 | INFO     | logging:callHandlers:1737 | 127.0.0.1:57625 - "DELETE /api/reports/1 HTTP/1.1" 404
2026-04-23 10:26:23 | INFO     | logging:callHandlers:1737 | 127.0.0.1:52312 - "DELETE /api/reports/2 HTTP/1.1" 204
2026-04-23 10:29:13 | INFO     | logging:callHandlers:1737 | Shutting down
2026-04-23 10:29:14 | INFO     | logging:callHandlers:1737 | Waiting for application shutdown.
2026-04-23 10:29:14 | INFO     | logging:callHandlers:1737 | Application shutdown complete.
2026-04-23 10:29:14 | INFO     | logging:callHandlers:1737 | Finished server process [3844]
2026-04-23 10:29:16 | INFO     | logging:callHandlers:1737 | Started server process [23940]
2026-04-23 10:29:16 | INFO     | logging:callHandlers:1737 | Waiting for application startup.
2026-04-23 10:29:16 | INFO     | app.main:startup_event:39 | 🚀 Приложение запущено
2026-04-23 10:29:16 | INFO     | logging:callHandlers:1737 | Application startup complete.
2026-04-23 10:29:40 | INFO     | logging:callHandlers:1737 | Shutting down
2026-04-23 10:29:40 | INFO     | logging:callHandlers:1737 | Waiting for application shutdown.
2026-04-23 10:29:40 | INFO     | logging:callHandlers:1737 | Application shutdown complete.
2026-04-23 10:29:40 | INFO     | logging:callHandlers:1737 | Finished server process [23940]
2026-04-23 10:29:42 | INFO     | logging:callHandlers:1737 | Started server process [22260]
2026-04-23 10:29:42 | INFO     | logging:callHandlers:1737 | Waiting for application startup.
2026-04-23 10:29:42 | INFO     | app.main:startup_event:39 | 🚀 Приложение запущено
2026-04-23 10:29:42 | INFO     | logging:callHandlers:1737 | Application startup complete.
2026-04-23 10:36:28 | INFO     | logging:callHandlers:1737 | Shutting down
2026-04-23 10:36:29 | INFO     | logging:callHandlers:1737 | Waiting for application shutdown.
2026-04-23 10:36:29 | INFO     | logging:callHandlers:1737 | Application shutdown complete.
2026-04-23 10:36:29 | INFO     | logging:callHandlers:1737 | Finished server process [22260]
2026-04-23 10:36:31 | INFO     | logging:callHandlers:1737 | Started server process [24032]
2026-04-23 10:36:31 | INFO     | logging:callHandlers:1737 | Waiting for application startup.
2026-04-23 10:36:31 | INFO     | app.main:startup_event:39 | 🚀 Приложение запущено
2026-04-23 10:36:31 | INFO     | logging:callHandlers:1737 | Application startup complete.
2026-04-23 10:38:16 | INFO     | logging:callHandlers:1737 | Shutting down
2026-04-23 10:38:16 | INFO     | logging:callHandlers:1737 | Waiting for application shutdown.
2026-04-23 10:38:16 | INFO     | logging:callHandlers:1737 | Application shutdown complete.
2026-04-23 10:38:16 | INFO     | logging:callHandlers:1737 | Finished server process [24032]
2026-04-23 10:38:18 | INFO     | logging:callHandlers:1737 | Started server process [4104]
2026-04-23 10:38:18 | INFO     | logging:callHandlers:1737 | Waiting for application startup.
2026-04-23 10:38:18 | INFO     | app.main:startup_event:39 | 🚀 Приложение запущено
2026-04-23 10:38:18 | INFO     | logging:callHandlers:1737 | Application startup complete.
2026-04-23 10:38:44 | INFO     | logging:callHandlers:1737 | Shutting down
2026-04-23 10:38:44 | INFO     | logging:callHandlers:1737 | Waiting for application shutdown.
2026-04-23 10:38:44 | INFO     | logging:callHandlers:1737 | Application shutdown complete.
2026-04-23 10:38:44 | INFO     | logging:callHandlers:1737 | Finished server process [4104]
2026-04-23 10:38:46 | INFO     | logging:callHandlers:1737 | Started server process [22032]
2026-04-23 10:38:46 | INFO     | logging:callHandlers:1737 | Waiting for application startup.
2026-04-23 10:38:46 | INFO     | app.main:startup_event:39 | 🚀 Приложение запущено
2026-04-23 10:38:46 | INFO     | logging:callHandlers:1737 | Application startup complete.
2026-04-23 10:39:24 | INFO     | logging:callHandlers:1737 | Shutting down
2026-04-23 10:39:24 | INFO     | logging:callHandlers:1737 | Waiting for application shutdown.
2026-04-23 10:39:24 | INFO     | logging:callHandlers:1737 | Application shutdown complete.
2026-04-23 10:39:24 | INFO     | logging:callHandlers:1737 | Finished server process [22032]
2026-04-23 10:39:26 | INFO     | logging:callHandlers:1737 | Started server process [23296]
2026-04-23 10:39:26 | INFO     | logging:callHandlers:1737 | Waiting for application startup.
2026-04-23 10:39:26 | INFO     | app.main:startup_event:39 | 🚀 Приложение запущено
2026-04-23 10:39:26 | INFO     | logging:callHandlers:1737 | Application startup complete.
2026-04-23 10:40:59 | INFO     | logging:callHandlers:1737 | Shutting down
2026-04-23 10:41:00 | INFO     | logging:callHandlers:1737 | Waiting for application shutdown.
2026-04-23 10:41:00 | INFO     | logging:callHandlers:1737 | Application shutdown complete.
2026-04-23 10:41:00 | INFO     | logging:callHandlers:1737 | Finished server process [23296]
2026-04-23 10:41:02 | INFO     | logging:callHandlers:1737 | Started server process [23932]
2026-04-23 10:41:02 | INFO     | logging:callHandlers:1737 | Waiting for application startup.
2026-04-23 10:41:02 | INFO     | app.main:startup_event:39 | 🚀 Приложение запущено
2026-04-23 10:41:02 | INFO     | logging:callHandlers:1737 | Application startup complete.
2026-04-23 10:42:45 | INFO     | logging:callHandlers:1737 | Shutting down
2026-04-23 10:42:45 | INFO     | logging:callHandlers:1737 | Waiting for application shutdown.
2026-04-23 10:42:45 | INFO     | logging:callHandlers:1737 | Application shutdown complete.
2026-04-23 10:42:45 | INFO     | logging:callHandlers:1737 | Finished server process [23932]
2026-04-23 10:42:47 | INFO     | logging:callHandlers:1737 | Started server process [13960]
2026-04-23 10:42:47 | INFO     | logging:callHandlers:1737 | Waiting for application startup.
2026-04-23 10:42:47 | INFO     | app.main:startup_event:39 | 🚀 Приложение запущено
2026-04-23 10:42:47 | INFO     | logging:callHandlers:1737 | Application startup complete.
2026-04-23 10:42:54 | INFO     | logging:callHandlers:1737 | Shutting down
2026-04-23 10:42:54 | INFO     | logging:callHandlers:1737 | Waiting for application shutdown.
2026-04-23 10:42:54 | INFO     | logging:callHandlers:1737 | Application shutdown complete.
2026-04-23 10:42:54 | INFO     | logging:callHandlers:1737 | Finished server process [13960]
2026-04-23 10:42:57 | INFO     | logging:callHandlers:1737 | Started server process [14380]
2026-04-23 10:42:57 | INFO     | logging:callHandlers:1737 | Waiting for application startup.
2026-04-23 10:42:57 | INFO     | app.main:startup_event:39 | 🚀 Приложение запущено
2026-04-23 10:42:57 | INFO     | logging:callHandlers:1737 | Application startup complete.
